Review,label,confidence
saya tidak menemukan menu lanjutan untuk perpanjangan sim setelah aktivasi akun,Neutral,0.999639034
harusnya proses itu setelah data dikirim baru validasi data jika data sudah benar baru pembayaran ini namanya perampokan anggap gagal 3 kali sudah berarti rugi tiga puluh ribu itu pun kalau pakai bank bank negara indonesia tapi kalau bank lain bisa tekor 50 ribu,Negative,0.988939703
sangat bagus dan proses nya cepat,Positive,0.999757349
ini aplikasinya kenapa sihkok mau buat sim baru tidak bisa tulisannya layanan belum tersedialayanan yang anda pilih masih dalam pengembangan padahal kan bagus ada aplikasi begini lebih memudahkanini kok tidak bisa sih,Negative,0.994383812
aplikasi payah duit sudah dibayar tapi muncul notifikasi ditolak dengan alasan foto kartu tanda penduduk dan sim tidak jelas mana mungkin kita uplod foto gb tidak jelas yang benar saja mana duit pengembalian dipotong ahhhhh seharusnya diverifikasi dulu sebelum bayar kalau sudah sesuai baru suruh bayar jangan belum diverifikasi udah suruh bayar rugi dong saya giliran mau diterbitkan muncul alasan foto tidak jelas ha,Negative,0.999813139
sangat puas tolong sekalian untuk sistem stnk nya,Positive,0.999474704
semua layanan belum tersedia kan wkwk,Neutral,0.999069512
app digitalisasi korlantas sangat membuat,Positive,0.998846531
alhamdulillah sudah dua kali pakai aplikasi ini untuk perpanjang sim mudah dan lancar rekomend bagi yang tidak mau antre,Positive,0.999705493
verifikasi gagal,Negative,0.999830842
sampah,Negative,0.999881744
belum siap apa tidak ada sumber daya manusia yang kompeten buat menangani sim online ini ya wajib punya sim tapi perpanjang saja dipersulit padahal data jelas sesuai sim dan kartu tanda penduduk foto blur sedikit saja jadi masalah mau blur kaya mau berbayang kaya ya cetak saja toh kita bayar dan data sudah sesuai,Negative,0.999760568
saya kasih bintang 2 karena keberhasilan dalam pembuat aplikasi sedangkan kesuksesan dalam penggunaan 0 besar semua tidak bisa dilakukan seperti verfikasi kartu tanda penduduk email dan lain² tidak bisa saat melakukan pengambilan photo tidak bisa perbaiki lagi apakah nya seharusnya jangan dipublikasikan kalau secara fungsi belum bisa digunakan terima kasih,Positive,0.736669362
belum sempurna,Negative,0.999848962
buat sim baru kok belum bisa ya aplikasinya,Negative,0.974730074
tingkatkan,Neutral,0.987647057
daftar saja tidak bisa benar benar tidak niat buat masyarakat,Negative,0.999869466
mau buat sim baru apakah nya belum siap,Neutral,0.999521852
mau daftar sim baru karena yang lama kelewat perpanjang per 5 tahun di web tertera jelas bisa daftar baru lewat aplikasi ternyata pas masuk aplikasi layanan belum tersedia sekelas instansi besar kok buat aplikasi seperti main main padahal jaman sekarang harus serba online agar mempermudah birokrasi dan lain lain tolong di kembangkan lagi agar semua menu bisa dapat di gunakan dengan lancar,Negative,0.938169837
saya tidak bisa mendapatkan cara atau menu buat sim gratis di fitur aplikasi hanya bisa buat akun login,Neutral,0.999696374
kenapa apakah yang saya unduh di sini tidak bisa untuk membuat simdisitu tertulislayanan tidak tersedia,Neutral,0.999179661
oke,Neutral,0.999501824
sukses selalu lancar terus,Positive,0.999652624
tidak bisa unggah dokumen,Negative,0.941852033
mantap proses cepat,Positive,0.999667406
mantap kepolisian republik indonesia,Positive,0.999082088
tolong bantu tidak bisa saya dapat apakah nya tidak ada peintas instal apakah,Neutral,0.99957937
mantabbbsat set,Positive,0.603122056
mantap,Positive,0.999696374
sangat membantu dan mempermudah,Positive,0.999529958
sim golongan b ke atas tidak terbaru hanya terbatas golongan a dan c,Neutral,0.944036126
mohon ditingkatkan lagi untuk tanda tangan backgroundnya tidak terhapus jadi tertimpa dengan foto selebihnya sudah cukup baik dan prosesnya juga tidak ribet cukup di rumah saja cuma antrean satgasnya agak lama harus benar² tahu pemilihan satuan tugas yang cepat acc,Neutral,0.641394138
simpel tidak repot terima kasih,Negative,0.979038477
mantap sangat membantu,Positive,0.999655724
pelayanan hebat,Positive,0.99968195
ini sekelas aplikasi pemerintahan kayak begini padahal banyak banget lah anak muda yang jago dalam software engginering di indonesia ini tapi mereka tidak di manfaatkan dengan baik sengaja banget mau buat ribet masyarakat padahal dengan adanya aplikasi kayak begini harusnya bisa mempermudah masyarakat dalam membuat sim tapi aplikasinya kayak buatan anak sekolah dasar yang belum jadi tapi memaksa di bagikan ke publik miris,Negative,0.999860644
sangat puas dan sangat menghemat waktu,Positive,0.999578297
pelayanan mudah dan cepat semoga pelayanan dipertahankan kedepannya,Positive,0.999142289
menyesal unduh aplikasi ini,Negative,0.999855876
sangat memudahkan untuk perpanjangan sim,Positive,0.999498367
tahun lalu perpanjang sim a bisa secara online semua proses nya sekarang perpanjang sim c masa harus datang ke faskes cek langsung sama dokter sama saja bukan online dong namanya,Negative,0.989130259
karena di berikan waktu coba 3bulan sebelum habis jadi minimal perpanjang online sebelum 1 bulan habis karena dalam prosesnya ada peluang gagal dan mengulang di polisi resor lain jadi siapkan waktu minimal 1 bukan sebelum sim habis masa berlaku,Neutral,0.999547899
sangat membantu proses cepat dan pengiriman kilat jadi tidak capai capai mengantre lagi,Positive,0.99934119
mantap,Positive,0.999696374
